LATIN;Prose;Poetry;Medieval;Total
Francia;0;0;12;12
furor, v.;1;1;10;12
hactenus;4;3;5;12
hasta;4;5;3;12
inclino;4;3;5;12
incurro;3;0;9;12
inermis;4;4;4;12
innocens;5;0;7;12
inopia;7;1;4;12
insuper;3;0;9;12
invictus;4;8;0;12
Ionathas;0;0;12;12
langueo;2;7;3;12
licentia;4;3;5;12
lucrum;2;4;6;12
luo;1;6;5;12
manduco;0;0;12;12
martyr;0;0;12;12
mentior;5;4;3;12
metallum;0;10;2;12
moderor;4;4;4;12
morsus;0;8;4;12
mus;1;0;11;12
nequaquam;3;0;9;12
nequiquam;5;6;1;12
nidus;0;8;4;12
nonus;3;2;7;12
occulto;6;2;4;12
ocellus;0;12;0;12
odi;2;8;2;12
odoror;0;10;2;12
paenitet;2;3;7;12
palus, -udis;4;8;0;12
paulatim;6;3;3;12
paveo;3;8;1;12
periculosus;4;1;7;12
pessimus;3;3;6;12
pharetra;0;11;1;12
pluma;0;8;4;12
Poenus;8;4;0;12
Pompeianus;11;1;0;12
postmodo;0;2;10;12
pravus;3;1;8;12
profiteor;7;3;2;12
progenies;2;8;2;12
puerilis;6;2;4;12
quatenus;1;0;11;12
quemadmodum;7;0;5;12
recludo;0;11;1;12
recordor;4;1;7;12
rector;4;6;2;12
redemptio;0;0;12;12
regalis;0;6;6;12
resurgo;0;5;7;12
sal;0;8;4;12
saucius;1;8;3;12
scando;1;8;3;12
sceptrum;0;11;1;12
sedulus;1;5;6;12
Seneca;8;2;2;12
silvester;1;8;3;12
sin;7;4;1;12
sodalis;0;11;1;12
spectaculum;6;4;2;12
spolio;3;7;2;12
stagnum;1;10;1;12
stupeo;3;7;2;12
subsisto;6;3;3;12
succendo;3;3;6;12
suesco;1;7;4;12
terminus;0;5;7;12
tolero;5;3;4;12
triumpho;2;8;2;12
truncus, n.;1;5;6;12
Tullius;2;6;4;12
utrimque;8;4;0;12
varietas;9;1;2;12
vellus;0;10;2;12
vicus;7;0;5;12
vigilia;5;0;7;12
vulpes;0;1;11;12
Willelmus;0;0;12;12
adhaereo;3;0;8;11
adulter;0;9;2;11
aliquantus;8;0;3;11
Alpes;5;3;3;11
amator;3;5;3;11
Amen;0;0;11;11
amicio;0;8;3;11
amplexus;1;7;3;11
angustus;2;8;1;11
arcanus;1;8;2;11
area;2;8;1;11
armiger;3;0;8;11
auratus;1;10;0;11
auster;1;8;2;11
Burgensis;0;0;11;11
bustum;1;10;0;11
casa;2;7;2;11
Catilina;10;1;0;11
centurio, n.;11;0;0;11
chorea;0;9;2;11
codex;0;1;10;11
cognatus;0;10;1;11
colloquium;3;1;7;11
complures;5;2;4;11
concilium;7;3;1;11
concordia;4;6;1;11
confestim;5;0;6;11
conscribo;6;1;4;11
controversia;9;0;2;11
Cornelius;8;3;0;11
corruo;1;2;8;11
crucio;4;3;4;11
demonstro;8;0;3;11
doctor;1;0;10;11
ductor;0;5;6;11
duplex;3;6;2;11
eia;0;2;9;11
eleyson;0;0;11;11
Elysium;0;11;0;11
Eos;0;11;0;11
equidem;8;0;3;11
erumpo;3;4;4;11
everto;1;8;2;11
exactus;3;6;2;11
exaudio;3;4;4;11
exstruo;4;5;2;11
exsulto;1;6;4;11
extollo;1;5;5;11
extorqueo;3;3;5;11
exuo;3;5;3;11
falx;1;9;1;11
fatalis;2;8;1;11
ferculum;0;1;10;11
floridus;0;8;3;11
formo;1;6;4;11
frequento;1;4;6;11
fundamentum;4;0;7;11
fundo, -are;0;7;4;11
fundus;3;2;6;11
Gallicus;8;1;2;11
gaza;2;4;5;11
Girardus;0;0;11;11
gravitas;2;2;7;11
harundo;1;10;0;11
heia;0;11;0;11
horror;1;8;2;11
hostia;2;7;2;11
iaculum;3;3;5;11
ignavus;2;8;1;11
illudo;5;2;4;11
improvisus;4;4;3;11
inchoo;4;5;2;11
indicium;5;4;2;11
indico, -ere;4;2;5;11
indomitus;1;9;1;11
infirmitas;0;0;11;11
innitor;3;5;3;11
innocentia;9;0;2;11
inscribo;4;4;3;11
instrumentum;2;0;9;11
intus;3;5;3;11
Iudaea;1;0;10;11
Lacedaemonius;8;2;1;11
limes;0;8;3;11
lorum;2;5;4;11
lugeo;3;3;5;11
mano;3;6;2;11
meo;0;9;2;11
Mercurius;3;4;4;11
momentum;5;4;2;11
nectar;0;9;2;11
nefandus;1;5;5;11
nequam;0;3;8;11
nimbus;2;9;0;11
no;7;4;0;11
notitia;5;2;4;11
noxius;1;7;3;11
opera;7;1;3;11
oppono;2;4;5;11
ovo;0;7;4;11
ovum;5;3;3;11
pallidus;0;10;1;11
parcus;3;2;6;11
partior;2;5;4;11
patronus;4;3;4;11
penso;1;8;2;11
persevero;5;0;6;11
perspicio;6;4;1;11
pestis;1;8;2;11
Petrus;0;0;11;11
pippinus;0;0;11;11
Plato;4;2;5;11
pontifex;1;2;8;11
possessio;1;0;10;11
postis;0;11;0;11
praesentio;0;11;0;11
procella;1;8;2;11
profugus;2;6;3;11
pronuntio;7;0;4;11
prout;2;0;9;11
pubes;1;9;1;11
pulchritudo;0;1;10;11
puteus;0;2;9;11
qua;4;5;2;11
quater;0;8;3;11
recubo;1;6;4;11
recupero;5;0;6;11
reporto;0;4;7;11
resero;0;8;3;11
resolvo;1;9;1;11
rite;1;8;2;11
roscidus;0;11;0;11
saccus;0;0;11;11
sapor;2;4;5;11
scopulus;1;9;1;11
seditio;8;2;1;11
siquidem;2;2;7;11
societas;5;0;6;11
socio;2;3;6;11
sopio;1;8;2;11
sospes;0;6;5;11
speculum;2;7;2;11
sterilis;1;9;1;11
suavitas;3;0;8;11
subduco;4;6;1;11
sumptus;2;2;7;11
supernus;1;4;6;11
suppono;0;9;2;11
suspicor;5;0;6;11
suspirium;1;2;8;11
suspiro;0;6;5;11
syllaba;1;4;6;11
tardo;1;6;4;11
tepeo;0;10;1;11
testamentum;5;0;6;11
testudo;3;7;1;11
Thetis;0;11;0;11
toga;2;9;0;11
trux;0;11;0;11
turbo, n.;0;10;1;11
ulciscor;4;5;2;11
venator;1;3;7;11
venia;2;4;5;11
vigor;3;7;1;11
abbatia;0;0;10;10
abstraho;3;3;4;10
adeo, adv.;4;3;3;10
adverto;2;5;3;10
affirmo;4;1;5;10
Africa;7;3;0;10
aliquot;7;0;3;10
alligo;2;5;3;10
amplector;3;6;1;10
ancilla;4;2;4;10
Aonius;0;10;0;10
Arabs;0;7;3;10
arbustum;1;7;2;10
argumentum;3;4;3;10
aridus;1;4;5;10
Athenienses;0;8;2;10
Ausonius;0;10;0;10
auspicium;5;4;1;10
avitus;2;6;2;10
balneum;6;1;3;10
barba;2;1;7;10
calco;0;9;1;10
candor;4;4;2;10
canus;1;6;3;10
capax;2;6;2;10
chelys;0;10;0;10
circumsisto;5;3;2;10
circumsto;4;2;4;10
clipeus;2;3;5;10
commemoro;6;1;3;10
concludo;2;0;8;10
conqueror;0;3;7;10
consensus;7;1;2;10
consularis;10;0;0;10
cotidie;4;0;6;10
creator;0;0;10;10
crus;3;5;2;10
cupa;0;0;10;10
Darius;7;0;3;10
decimus;3;3;4;10
decor;0;4;6;10
defluo;3;5;2;10
demo;4;5;1;10
deprimo;3;2;5;10
deterior;1;5;4;10
discumbo;2;1;7;10
dissimulo;2;2;6;10
draco;0;3;7;10
echo;0;8;2;10
effigies;1;8;1;10
egestas;2;7;1;10
elabor;3;4;3;10
elatus;6;2;2;10
eloquor;5;3;2;10
enitor;5;4;1;10
erga;2;0;8;10
eveho;4;2;4;10
exclamo;2;0;8;10
exsto;3;7;0;10
favilla;0;8;2;10
feriae;2;1;7;10
ferme;9;1;0;10
festivitas;0;0;10;10
filum;0;10;0;10
fulcio;2;7;1;10
fulvus;0;10;0;10
gesto;1;2;7;10
glorior;4;1;5;10
Haemonia;0;10;0;10
hereditas;3;0;7;10
hesternus;0;5;5;10
ieiunus;2;2;6;10
illico;1;1;8;10
immeritus;2;6;2;10
incendo;5;2;3;10
incubo;4;5;1;10
inertia;4;2;4;10
infamia;5;0;5;10
iniungo;1;0;9;10
insero (-serui);1;4;5;10
interitus;3;3;4;10
intervallum;7;1;2;10
involvo;2;4;4;10
irruo;2;0;8;10
Italus;0;9;1;10
iucunditas;4;0;6;10
Iulius;2;5;3;10
iurgium;1;6;3;10
labrum;2;7;1;10
laxus;2;5;3;10
lepor;1;7;2;10
liberalitas;5;0;5;10
limus (mud);0;10;0;10
linea;2;3;5;10
lusus;1;9;0;10
lympha;1;9;0;10
matrimonium;4;0;6;10
matutinus;0;2;8;10
-met;5;3;2;10
Metellus;8;2;0;10
metior;6;4;0;10
molior;3;7;0;10
mucro;2;4;4;10
mundanus;0;2;8;10
musica;2;4;4;10
naturalis;6;0;4;10
naufragium;4;2;4;10
naufragus;1;4;5;10
navita;0;10;0;10
nimirum;1;3;6;10
numerosus;1;9;0;10
oblivio;4;3;3;10
obnoxius;4;4;2;10
occido (short i);1;4;5;10
octo;2;2;6;10
omen;5;3;2;10
opacus;0;9;1;10
optimas;9;0;1;10
Orcus;1;9;0;10
paco;0;9;1;10
pactum;2;4;4;10
palatum;2;3;5;10
parumper;1;4;5;10
paulisper;4;2;4;10
percello;3;7;0;10
Persae;2;5;3;10
persuadeo;8;0;2;10
Phoenix;0;8;2;10
pictura;1;3;6;10
pinus;1;7;2;10
poto;0;5;5;10
privo;2;2;6;10
probus;0;7;3;10
profundo;4;5;1;10
promo;0;6;4;10
prorsus;2;2;6;10
prudentia;5;3;2;10
pudicitia;4;5;1;10
Punicus;5;5;0;10
quapropter;1;3;6;10
quivis;1;6;3;10
radio;0;8;2;10
radix;5;3;2;10
recessus;1;7;2;10
recuso;6;3;1;10
redimio;1;8;1;10
regredior;5;2;3;10
resumo;0;4;6;10
rigidus;0;7;3;10
Sabbata;0;0;10;10
Sabinus;2;8;0;10
Saburra;10;0;0;10
sacrificium;7;0;3;10
sacrista;0;0;10;10
salvo;0;0;10;10
sceleratus;3;6;1;10
sector, v.;0;8;2;10
securis;0;5;5;10
separo;0;2;8;10
septimus;3;3;4;10
set;1;9;0;10
sidereus;0;10;0;10
silex;0;9;1;10
singularis;6;0;4;10
sisto;2;7;1;10
sitio;0;3;7;10
solium;0;4;6;10
sollicitudo;2;1;7;10
solum, n.;2;5;3;10
stimulo;0;7;3;10
subiaceo;1;1;8;10
suboles;0;7;3;10
subvenio;5;0;5;10
teres;1;9;0;10
Thuringi;0;0;10;10
Tibullus;1;9;0;10
tonellus;0;0;10;10
totidem;3;4;3;10
tristitia;2;1;7;10
turbidus;1;8;1;10
tutela;5;4;1;10
Tyrius;0;8;2;10
vae;1;4;5;10
Varro;7;3;0;10
venerabilis;0;5;5;10
victrix;1;7;2;10
victus, n.;3;0;7;10
viola;0;10;0;10
violentia;4;0;6;10
abduco;2;5;2;9
abscedo;1;0;8;9
accurro;0;0;9;9
admiratio;5;0;4;9
aedificium;5;0;4;9
affor;0;8;1;9
anceps;5;2;2;9
Antonius;6;1;2;9
archiepiscopus;0;0;9;9
Aristoteles;1;0;8;9
arrideo;1;6;2;9
aspernor;3;4;2;9
assigno;4;2;3;9
astringo;3;5;1;9
atrium;1;6;2;9
Atticus;3;6;0;9
basilica;0;0;9;9
Berengarius;0;0;9;9
cacumen;0;4;5;9
caducus;1;6;2;9
calamitas;3;5;1;9
Calliope;0;8;1;9
Camillus;6;3;0;9
canities;0;6;3;9
canna;2;4;3;9
capto;3;4;2;9
catus;0;0;9;9
cera;0;7;2;9
certatim;1;4;4;9
circulus;3;2;4;9
cohibeo;1;7;1;9
como;2;6;1;9
concha;0;7;2;9
concito;3;6;0;9
concupisco;4;0;5;9
conduco;2;2;5;9
consors;0;6;3;9
constringo;3;1;5;9
contentio;9;0;0;9
coquina;0;0;9;9
cothurnus;0;9;0;9
cultellus;0;0;9;9
cupiditas;8;1;0;9
delinquo;4;1;4;9
designo;1;2;6;9
diadema;0;7;2;9
dilectio;0;0;9;9
Dis;1;8;0;9
discutio;2;5;2;9
dissero;4;1;4;9
disto;1;4;4;9
divinitus;0;3;6;9
ebrius;0;6;3;9
edoceo;2;3;4;9
eicio;2;4;3;9
elemosina;0;0;9;9
elevo;0;0;9;9
etc.;0;0;9;9
Europa;2;5;2;9
Eurydice;0;9;0;9
evangelium;0;0;9;9
excelsus;3;5;1;9
exhaurio;4;2;3;9
expeto;2;2;5;9
exterior;2;0;7;9
extraneus;1;0;8;9
Fabius;5;3;1;9
fastigium;3;5;1;9
femineus;0;9;0;9
fenestra;0;2;7;9
fertilis;1;7;1;9
Flaccus;2;4;3;9
flammo;0;9;0;9
Gaius;9;0;0;9
gelu;0;5;4;9
gemino;0;9;0;9
gestus;2;3;4;9
Getron;0;0;9;9
gigas;0;3;6;9
gressus;0;2;7;9
hedera;0;9;0;9
honorificus;0;0;9;9
Horatius;4;3;2;9
hostilis;5;1;3;9
Hylas;0;9;0;9
illinc;1;5;3;9
immolo;5;3;1;9
incola;2;2;5;9
infamo;1;0;8;9
innumerus;1;7;1;9
inops;1;2;6;9
interimo;1;2;6;9
invoco;4;2;3;9
iracundia;7;0;2;9
itero;0;5;4;9
L.;9;0;0;9
lana;2;6;1;9
languidus;1;5;3;9
laqueus;1;5;3;9
liberi;3;2;4;9
locuples;4;3;2;9
Lucanus;1;5;3;9
lucifer;0;9;0;9
lutum (mud);1;2;6;9
luxus, n.;1;5;3;9
Lyaeus;0;7;2;9
madeo;1;5;3;9
Macaenas;1;8;0;9
Manlius;4;4;1;9
medicina;1;5;3;9
Medus;0;7;2;9
memorabilis;4;4;1;9
minax;0;8;1;9
Misenum;8;1;0;9
murmuro;0;4;5;9
Naias;0;9;0;9
nardus;0;8;1;9
nebula;2;6;1;9
Numida;0;9;0;9
nummus;6;0;3;9
obliquus;3;5;1;9
octavus;4;0;5;9
Paris;0;6;3;9
Parisius;0;0;9;9
passio;0;0;9;9
pavidus;2;6;1;9
perforo;2;0;7;9
perlego;4;1;4;9
perverto;4;0;5;9
Phyllis;0;9;0;9
plaustrum;5;3;1;9
portentum;6;2;1;9
prandium;0;1;8;9
procax;2;6;1;9
pungo;1;3;5;9
pusillus;4;1;4;9
quinquaginta;3;1;5;9
Quintilianus;0;5;4;9
rabidus;0;9;0;9
rapina;2;5;2;9
remeo;1;2;6;9
repentinus;7;0;2;9
Rhenus;2;6;1;9
robustus;3;4;2;9
sacramentum;1;0;8;9
satur;2;6;1;9
schola;1;0;8;9
semetipse;3;0;6;9
serius;3;4;2;9
similitudo;3;0;6;9
solor;1;8;0;9
speciosus;3;2;4;9
spina;2;2;5;9
stabilis;3;5;1;9
subigo;2;4;3;9
sucus;0;7;2;9
sudo;0;8;1;9
sui;4;3;2;9
suatento;2;0;7;9
taeter;2;6;1;9
testa;0;7;2;9
Thebae;2;7;0;9
torpeo;2;5;2;9
tremor;4;1;4;9
ubicumque;2;2;5;9
udus;0;9;0;9
umor;1;8;0;9
ungo;1;6;2;9
unusquisque;0;0;9;9
vello;0;8;1;9
velocitas;3;0;6;9
venalis;2;5;2;9
vibro;2;5;2;9
victima;3;5;1;9
vindex;0;8;1;9
vineus;2;6;1;9
virilis;1;4;4;9
vitalis;3;5;1;9
volumen;4;1;4;9
acervus;2;5;1;8
administro;6;0;2;8
admirabilis;4;0;4;8
adulescentia;4;0;4;8
adulterium;2;3;3;8
aestivus;0;7;1;8
affigo;1;2;5;8
alacer;1;3;4;8
Alcibiades;8;0;0;8
alloquor;0;2;6;8
amabilis;1;5;2;8
amomum;0;8;0;8
Andromeda;0;8;0;8
apis;1;4;3;8
approbo;3;2;3;8
aquila;1;3;4;8
aquilo;2;5;1;8
artificium;3;0;5;8
Arturus;0;0;8;8
assequor;5;2;1;8
Assyrius;0;8;0;8
Attis;0;8;0;8
augurium;4;1;3;8
bellicus;4;1;3;8
benevolentia;4;0;4;8
campester;0;0;8;8
candeo;0;7;1;8
Carthaglniensis;7;0;1;8
Carthago;3;0;5;8
Cecropia;0;8;0;8
cellarius;0;0;8;8
Cerberus;0;8;0;8
chorda;0;6;2;8
cieo;2;6;0;8
claresco;0;2;6;8
classicus;2;5;1;8
cognitio;6;0;2;8
commentarius;7;0;1;8
concilio;2;4;2;8
concubina;0;0;8;8
condemno;4;1;3;8
confugio;1;1;6;8
consisto;5;0;3;8
conversatio;1;0;7;8
coorior;7;1;0;8
coquus;1;0;7;8
Crassue;6;2;0;8
cremo;1;3;4;8
cubo;2;5;1;8
Danaus;0;8;0;8
delibero;0;2;6;8
deprecor;1;2;5;8
derelinquo;0;0;8;8
deterreo;5;2;1;8
Diana;0;7;1;8
difficultas;1;0;7;8
digero;0;6;2;8
diripio;3;1;4;8
discerno;6;0;2;8
dorsum;1;1;6;8
Dryas;0;7;1;8
eburneus;0;8;0;8
edax;1;6;1;8
elegantia;5;0;3;8
eloquium;0;3;5;8
epulor;0;2;6;8
equester;6;1;1;8
eruditio;5;0;3;8
eruo;2;2;4;8
eurus;0;8;0;8
excidium;3;2;3;8
excogito;4;0;4;8
excorio;0;0;8;8
exercito;5;0;3;8
expavesco;0;4;4;8
exterreo;4;1;3;8
exuviae;0;7;1;8
Falernus;0;6;2;8
famosus;0;3;5;8
fastidium;0;3;5;8
felicitas;5;0;3;8
flagitium;5;2;1;8
flammeus;0;8;0;8
fluito;1;5;2;8
fraternus;0;8;0;8
fraudo;3;5;0;8
fremitus;4;4;0;8
fugax;0;8;0;8
fulgor;2;5;1;8
funis;1;3;4;8
Furiae;0;8;0;8
Ganalonus;0;0;8;8
germanus;0;5;3;8
grando;0;6;2;8
Helena;1;3;4;8
horribilis;0;6;2;8
hospitus;0;7;1;8
humerus;0;4;4;8
ideirco;0;3;5;8
idus;5;3;0;8
igneus;1;7;0;8
Iliacus;0;8;0;8
immodicus;3;4;1;8
impar;2;3;3;8
inauditus;0;0;8;8
incito;4;3;1;8
insolitus;1;4;3;8
intentio;1;0;7;8
intermitto;7;1;0;8
introduco;1;0;7;8
inveho;5;3;0;8
invidus;0;8;0;8
irriguus;0;4;4;8
irrito;4;2;2;8
iugiter;0;1;7;8
lacrimo;3;3;2;8
Latona;0;8;0;8
laxo;1;3;4;8
ligneus;1;3;4;8
linteus;3;4;1;8
liqueo;2;4;2;8
lucerna;0;5;3;8
ludibrium;3;4;1;8
Macedon;6;0;2;8
maeror;4;0;4;8
mancipium;4;1;3;8
marceo;0;8;0;8
Marcus;4;3;1;8
marinus;1;3;4;8
matrona;1;3;4;8
mediocris;7;0;1;8
Meliboeus;0;8;0;8
meridies;4;0;4;8
Messalla;1;7;0;8
meta;0;5;3;8
misericors;1;0;7;8
mollio;3;5;0;8
munitio;8;0;0;8
myrrha;0;5;3;8
myrteus;0;8;0;8
Nervii;8;0;0;8
nexus;2;6;0;8
nihilum;3;2;3;8
novitas;2;4;2;8
obsum;1;7;0;8
omnino;4;3;1;8
opportunus;3;0;5;8
oraculum;4;4;0;8
ordior;2;5;1;8
osculor;3;0;5;8
pabulum;2;2;4;8
pallium;0;2;6;8
pango;1;2;5;8
penetralis;0;7;1;8
permisceo;2;5;1;8
persono;3;2;3;8
Philomena;0;3;5;8
piget;0;5;3;8
planta;0;6;2;8
platea;0;0;8;8
portio;2;0;6;8
praefor;3;0;5;8
praerumpo;2;4;2;8
praetorius;6;1;1;8
proavus;1;7;0;8
probitas;0;3;5;8
propterea;3;2;3;8
prorumpo;1;2;5;8
quadraginta;3;0;5;8
qualiscumque;2;3;3;8
Quirinus;4;4;0;8
raucus;0;7;1;8
recondo;3;3;2;8
recurro;0;2;6;8
renascor;1;6;1;8
repugno;4;3;1;8
retraho;1;1;6;8
reveho;2;5;1;8
reverentia;0;2;6;8
rubor;1;6;1;8
salio;0;6;2;8
salubris;3;2;3;8
scholasticus;2;2;4;8
securitas;5;0;3;8
sedo;3;4;1;8
semet;2;5;1;8
sempiternus;3;0;5;8
senium;0;7;1;8
sepono;2;6;0;8
Siculus;1;6;1;8
sollertia;3;4;1;8
spissus;0;2;6;8
splendor;0;5;3;8
stimulus;1;4;3;8
strenuus;4;1;3;8
stupefacio;1;5;2;8
subsum;2;5;1;8
Sulla;6;2;0;8
supercilium;0;7;1;8
supprimo;2;5;1;8
Syria;2;5;1;8
temerarius;3;5;0;8
tenax;2;5;1;8
Thracia;3;4;1;8
Thracius;0;8;0;8
Tibur;0;8;0;8
Titan;0;7;1;8
Tityrus;0;8;0;8
tonitrus;1;2;5;8
tragoedia;2;5;1;8
tranquillus;4;4;0;8
trans;3;4;1;8
transfigo;4;2;2;8
Trimalchio;8;0;0;8
ultio;2;2;4;8
vapulo;0;2;6;8
venustus;2;3;3;8
verax;0;0;8;8
versus, adv.;2;3;3;8
vocabulum;1;1;6;8
voluto;2;3;3;8
zephyrus;0;5;3;8
absumo;2;4;1;7
abutor;3;2;2;7
adamo;0;5;2;7
aemulus;2;3;2;7
Albanus;0;4;3;7
aliunde;2;1;4;7
amens;1;3;3;7
amplitudo;4;0;3;7
amputo;2;0;5;7
angelicus;0;0;7;7
anhelo;0;5;2;7
animosus;2;3;2;7
arator;0;6;1;7
Arcadia;0;7;0;7
arceo;2;4;1;7
areo;1;4;2;7
argenteus;2;1;4;7
arista;0;5;2;7
armentum;1;5;1;7
aro;3;4;0;7
aspergo;3;1;3;7
assentio;3;1;3;7
assurgo;4;3;0;7
Attalus;1;0;6;7
attero;1;4;2;7
attribuo;3;3;1;7
Austria;0;0;7;7
Avernus;2;5;0;7
Baiae;2;5;0;7
basium;0;7;0;7
bonitas;2;0;5;7
Boreas;1;5;1;7
Britannus;0;4;3;7
Brundisium;7;0;0;7
caeles;1;5;1;7
caespes;1;5;1;7
capesso;5;2;0;7
cassus;0;4;3;7
castigo;1;0;6;7
cautus;2;4;1;7
chaos;0;7;0;7
cibarius;3;0;4;7
circiter;5;0;2;7
claritas;3;0;4;7
clemens;2;2;3;7
cognomen;4;1;2;7
Colchis;0;7;0;7
cometes;0;5;2;7
commuto;5;2;0;7
competo;1;0;6;7
concors;1;6;0;7
conditor;4;0;3;7
confessio;2;0;5;7
confluo;2;1;4;7
congero;0;6;1;7
congregatio;0;0;7;7
conscientia;4;0;3;7
consolatio;1;0;6;7
contumelia;4;0;3;7
convictus;4;2;1;7
copiosus;3;1;3;7
cortex;2;4;1;7
crepo;2;5;0;7
cubitum;1;1;5;7
cultura;5;0;2;7
cumulo;1;4;2;7
curvo;1;3;3;7
cymbalum;0;7;0;7
Cytherea;0;7;0;7
Dacus;2;5;0;7
David;0;0;7;7
debilis;1;2;4;7
declaro;6;0;1;7
deformis;2;4;1;7
dego;0;4;3;7
delubrum;2;5;0;7
depello;2;2;3;7
depingo;0;2;5;7
desidia;3;2;2;7
destruo;0;0;7;7
devenio;0;1;6;7
digredior;4;1;2;7
discerpo;2;2;3;7
dispar;2;3;2;7
distendo;3;4;0;7
distinguo;2;1;4;7
docilis;0;7;0;7
dolosus;0;4;3;7
Druides;7;0;0;7
ebrietas;1;0;6;7
edisco;2;1;4;7
editus;2;3;2;7
eheu;1;6;0;7
eludo;3;2;2;7
emergo;0;3;4;7
emetior;2;4;1;7
evito;1;1;5;7
evoco;4;2;1;7
excieo;3;4;0;7
exemplaris;4;0;3;7
exinde;0;0;7;7
exsequor;3;1;3;7
fabrico;2;2;3;7
facundia;1;4;2;7
famulor;0;3;4;7
fascis;0;7;0;7
Faunus;0;5;2;7
fervidus;0;6;1;7
fervor;0;1;6;7
finitimus;5;2;0;7
flamen;3;3;1;7
flatus;0;3;4;7
foedus, n.;4;1;2;7
fossa;4;3;0;7
fragor;1;4;2;7
fremo;0;4;3;7
Geta;0;7;0;7
glacies;3;2;2;7
gradior;0;2;5;7
grates;1;0;6;7
habena;0;5;2;7
haedus;1;6;0;7
hebes;1;1;5;7
Hebrus;0;7;0;7
heri;1;2;4;7
Hesperus;0;6;1;7
Hieronymus;0;0;7;7
hodiernus;3;3;1;7
horreum;0;5;2;7
humo;2;4;1;7
Hyacinthus;0;7;0;7
Idalius;0;7;0;7
illecebra;2;1;4;7
immaturus;2;4;1;7
impiger;3;3;1;7
incognitus;2;2;3;7
incolo;4;1;2;7
incultus;1;4;2;7
indo;0;5;2;7
indoles;3;3;1;7
inscius;0;3;4;7
insolens;3;3;1;7
interdico;3;1;3;7
interpono;3;0;4;7
interpres;3;1;3;7
iocosus;0;7;0;7
Ionius;3;4;0;7
Israel;0;0;7;7
iubar;0;7;0;7
Laelius;5;2;0;7
largior;3;3;1;7
latebra;0;5;2;7
latex;0;7;0;7
latro, v.;0;7;0;7
Lesbia;0;7;0;7
linter;2;5;0;7
litteratus;0;0;7;7
Lucina;0;7;0;7
Lydia;0;7;0;7
macula;2;3;2;7
madidus;0;6;1;7
Maeonius;0;7;0;7
Maimundus;0;0;7;7
maledico;0;1;6;7
maleficium;1;0;6;7
Marius;5;2;0;7
migro;2;2;3;7
miseratio;4;0;3;7
mitigo;1;3;3;7
mobilis;0;4;3;7
muliebris;6;1;0;7
mustus;0;7;0;7
Naso;4;1;2;7
navigium;2;2;3;7
Nedui;0;0;7;7
negligentia;2;0;5;7
Nemesis;0;7;0;7
nempe;2;4;1;7
neptis;3;0;4;7
nitor, n.;4;2;1;7
Normannus;0;0;7;7
Notkerus;0;0;7;7
nudo;3;3;1;7
ocior;2;1;4;7
oleo;0;6;1;7
oliva;0;7;0;7
onustus;1;0;6;7
operosus;0;4;3;7
oppugno;6;0;1;7
paciscor;2;3;2;7
Paphius;0;7;0;7
particeps;2;2;3;7
parturio;1;5;1;7
passer;0;7;0;7
patrimonium;3;0;4;7
paululus;1;0;6;7
pauperies;0;6;1;7
peior;3;2;2;7
perfugio;7;0;0;7
Pergamum;0;6;1;7
perhibeo;2;4;1;7
perpes;0;3;4;7
perturbo;4;0;3;7
petulans;1;6;0;7
pincerna;0;0;7;7
posteritas;3;3;1;7
praecipito;4;3;0;7
praecordia;1;3;3;7
praedor;2;3;2;7
praeeo;2;0;5;7
praemitto;4;0;3;7
praesul;0;0;7;7
prehendo;0;7;0;7
pridem;2;5;0;7
principatus;7;0;0;7
procumbo;3;4;0;7
prolabor;5;2;0;7
properus;3;3;1;7
provenio;1;3;3;7
psittacus;0;6;1;7
quaestio;2;1;4;7
quaestus;5;0;2;7
quamdiu;1;0;6;7
quietus;3;2;2;7
quingenti;3;0;4;7
Quirites;3;4;0;7
rabies;1;5;1;7
recido;4;3;0;7
recumbo;1;3;3;7
redigo;2;2;3;7
reprimo;4;1;2;7
rescribo;1;1;5;7
resulto;0;4;3;7
robigo;3;4;0;7
Romuleus;0;5;2;7
saevitia;3;1;3;7
sagittarius;5;0;2;7
sano;0;1;6;7
sat;1;6;0;7
scaena;4;3;0;7
sciscitor;1;0;6;7
Scylla;0;6;1;7
secus, adv.;4;2;1;7
Semele;0;6;1;7
semita;2;4;1;7
senesco;3;4;0;7
septeni;1;5;1;7
sibilus;1;5;1;7
Sicilia;5;1;1;7
sigilia;0;0;7;7
smaragdus;0;6;1;7
splendeo;2;4;1;7
stadium;2;3;2;7
stamen;0;7;0;7
statua;2;3;2;7
stomachus;1;0;6;7
strepo;3;4;0;7
sublevo;3;2;2;7
submoveo;3;4;0;7
subrideo;0;1;6;7
subter;0;5;2;7
subtraho;2;0;5;7
suffragium;2;2;3;7
suppedito;2;4;1;7
supplico;3;0;4;7
surdus;0;5;2;7
taedium;1;3;3;7
tantummodo;1;0;6;7
tempestivus;3;2;2;7
tenus;1;1;5;7
Terentius;5;1;1;7
terni;3;3;1;7
terrenus;0;3;4;7
Tityos;0;7;0;7
transcendo;1;2;4;7
transigo;4;1;2;7
trecenti;2;3;2;7
triumphalis;2;3;2;7
tropaeum;1;6;0;7
tunica;1;3;3;7
tympanum;0;7;0;7
ulmus;0;7;0;7
umbrosus;0;7;0;7
unanimus;0;4;3;7
unguentum;1;6;0;7
