Latin	English	Declension	Gender	Total	Prose	Poetry	NomSg	NomPl	GenSg	GenPl	DatSg	DatPl	AccSg	AccPl	AblSg	AblPl	VocSg	VocPl	LocSg	LocPl
divitiae	riches, wealth	1	f	209	185	24	-	dīvitiae	-	dīvitiārum	-	dīvitiīs	-	dīvitiās	-	dīvitiīs	-	dīvitiae		
invidia	envy, jealousy, prejudice	1	f	209	183	26	invidia	invidiae	invidiae	invidiārum	invidiae	invidiīs	invidiam	invidiās	invidiā	invidiīs	invidia	invidiae		
morbus	disease, sickness	2	m	209	171	38	morbus	morbī	morbī	morbōrum	morbō	morbīs	morbum	morbōs	morbō	morbīs	morbe	morbī		
templum	temple, shrine	2	n	205	111	94	templum	templa	templī	templōrum	templō	templīs	templum	templa	templō	templīs	templum	templa		
facies	shape, figure, face	5	f	202	104	98	faciēs	faciēs	faciēī	faciērum	faciēī	faciēbus	faciem	faciēs	faciē	faciēbus	faciēs	faciēs		
arbor	tree	3	f	202	100	102	arbor	arborēs	arboris	arborum	arborī	arboribus	arborem	arborēs	arbore	arboribus	arbor	arborēs		
otium	leisure	2	n	201	173	28	ōtium	ōtia	ōtiī	ōtiōrum	ōtiō	ōtiīs	ōtium	ōtia	ōtiō	ōtiīs	ōtium	ōtia		
lumen	light	3	n	201	56	145	lūmen	lūmina	lūminis	lūminum	lūminī	lūminibus	lūmen	lūmina	lūmine	lūminibus	lūmen	lūmina		
verum	reality, fact	2	n	200	149	51	vērum	vēra	vērī	vērōrum	vērō	vērīs	vērum	vēra	vērō	vērīs	vērum	vēra		
somnus	sleep	2	m	200	84	116	somnus	somnī	somnī	somnōrum	somnō	somnīs	somnum	somnōs	somnō	somnīs	somne	somnī		
ara	altar, sanctuary	1	f	199	52	147	āra	ārae	ārae	ārārum	ārae	ārīs	āram	ārās	ārā	ārīs	āra	ārae		
clamor	shout	3	m	198	137	61	clāmor	clāmōrēs	clāmōris	clāmōrum	clāmōrī	clāmōribus	clāmōrem	clāmōrēs	clāmōre	clāmōribus	clāmor	clāmōrēs		
pretium	worth, price, value	2	n	197	142	55	pretium	pretia	pretiī/pretī	pretiōrum	pretiō	pretiīs	pretium	pretia	pretiō	pretiīs	pretium	pretia		
praeda	plunder, spoils, booty, prey	1	f	196	139	57	praeda	praedae	praedae	praedārum	praedae	praedīs	praedam	praedās	praedā	praedīs	praeda	praedae		
donum	gift, present	2	n	195	91	104	dōnum	dōna	dōnī	dōnōrum	dōnō	dōnīs	dōnum	dōna	dōnō	dōnīs	dōnum	dōna		
facinus	deed, action	3	n	191	139	52	facinus	facinora	facinoris	facinorum	facinorī	facinoribus	facinus	facinora	facinore	facinoribus	facinus	facinora		
prex	prayer, request	3	f	190	100	90	prex	precēs	precis	precum	precī	precibus	precem	precēs	prece	precibus	prex	precēs		
factum	fact, deed, act	2	n	188	124	64	factum	facta	factī	factōrum	factō	factīs	factum	facta	factō	factīs	factum	facta		
affectus	affection, mood, emotion	4	m	185	172	13	affectus	affectūs	affectūs	affectuum	affectuī	affectibus	affectum	affectūs	affectū	affectibus	affectus	affectūs		
libido	pleasure, inclination, fancy	3	f	185	159	26	libīdō	libīdinēs	libīdinis	libīdinum	libīdinī	libīdinibus	libīdinem	libīdinēs	libīdine	libīdinibus	libīdō	libīdinēs		
praemium	prize, reward, bribe	2	n	185	138	47	praemium	praemia	praemiī	praemiōrum	praemiō	praemiīs	praemium	praemia	praemiō	praemiīs	praemium	praemia		
comes	companion, comrade, partner, attendant, servant	3	mh, fh	185	66	119	comes	comitēs	comitis	comitum	comitī	comitibus	comitem	comitēs	comite	comitibus	comes	comitēs		
membrum	limb, member	2	n	184	76	108	membrum	membra	membrī	membrōrum	membrō	membrīs	membrum	membra	membrō	membrīs	membrum	membra		
vulgus	the common people	2	n	183	133	50	vulgus	-	vulgī	-	vulgō	-	vulgus	-	vulgō	-	vulgus	-		
decus	honor, distinction, glory, pride	3	n	183	98	85	decus	decora	decoris	decorum	decorī	decoribus	decus	decora	decore	decoribus	decus	decora		
anima	soul, spirit, air	1	f	182	78	104	anima	animae	animae	animārum	animae	animīs	animam	animās	animā	animīs	anima	animae		
furor	frenzy, rage	3	m	182	68	114	furor	furōrēs	furōris	furōrum	furōrī	furōribus	furōrem	furōrēs	furōre	furōribus	furor	furōrēs		
virgo	maid, maiden, virgin	3	fh	182	47	135	virgō	virginēs	virginis	virginum	virginī	virginibus	virginem	virginēs	virgine	virginibus	virgō	virginēs		
spiritus	breath, spirit	4	m	181	138	43	spīritus	spīritūs	spīritūs	spīrituum	spīrituī	spīritibus	spīritum	spīritūs	spīritū	spīritibus	spīritus	spīritūs		
sinus	hollow, curve, gulf, bosom	4	m	181	69	112	sinus	sinūs	sinūs	sinuum	sinuī	sinibus	sinum	sinūs	sinū	sinibus	sinus	sinūs		
frons	forehead	3	f	180	98	82	frōns	frontēs	frontis	frontium	frontī	frontibus	frontem	frontēs	fronte	frontibus	frōns	frontēs		
motus	movement	4	m	178	143	35	mōtus	mōtūs	mōtūs	mōtuum	mōtuī	mōtibus	mōtum	mōtūs	mōtū	mōtibus	mōtus	mōtūs		
senex	old person	3	mh, fh	178	94	84	senex	senēs	senis	senum	senī	senibus	senem	senēs	sene	senibus	senex	senēs		
currus	chariot, wagon	4	m	177	70	107	currus	currūs	currūs	curruum	curruī	curribus	currum	currūs	currū	curribus	currus	currūs		
vinculum	bond, chain, cord	2	n	176	101	75	vinculum	vincula	vinculī	vinculōrum	vinculō	vinculīs	vinculum	vincula	vinculō	vinculīs	vinculum	vincula		
funus	funeral, death	3	n	176	79	97	fūnus	fūnera	fūneris	fūnerum	fūnerī	fūneribus	fūnus	fūnera	fūnere	fūneribus	fūnus	fūnera		
tempestas	storm, tempest, weather	3	f	175	142	33	tempestās	tempestātēs	tempestātis	tempestātum	tempestātī	tempestātibus	tempestātem	tempestātēs	tempestāte	tempestātibus	tempestās	tempestātēs		
numen	nod, divinity	3	n	173	48	125	nūmen	nūmina	nūminis	nūminum	nūminī	nūminibus	nūmen	nūmina	nūmine	nūminibus	nūmen	nūmina		
pudor	shamefacedness, shyness, disgrace, modesty	3	m	172	100	72	pudor	pudōrēs	pudōris	pudōrum	pudōrī	pudōribus	pudōrem	pudōrēs	pudōre	pudōribus	pudor	pudōrēs		
gradus	step, degree	4	m	172	91	81	gradus	gradūs	gradūs	graduum	graduī	gradibus	gradum	gradūs	gradū	gradibus	gradus	gradūs		
forum	market-/public place, forum	2	n	171	151	20	forum	fora	forī	forōrum	forō	forīs	forum	fora	forō	forīs	forum	fora		
vinum	wine	2	n	170	103	67	vīnum	vīna	vīnī	vīnōrum	vīnō	vīnīs	vīnum	vīna	vīnō	vīnīs	vīnum	vīna		
moenia	city walls, fortifications	3	n	170	91	79	-	moenia	-	moenium	-	moenibus	-	moenia	-	moenibus	-	moenia		
ripa	bank (of a river), shore (of the sea)	1	f	169	109	60	rīpa	rīpae	rīpae	rīpārum	rīpae	rīpīs	rīpam	rīpās	rīpā	rīpīs	rīpa	rīpae		
gaudium	joy, delight	2	n	168	124	44	gaudium	gaudia	gaudiī	gaudiōrum	gaudiō	gaudiīs	gaudium	gaudia	gaudiō	gaudiīs	gaudium	gaudia		
cornu	horn	4	n	168	88	80	cornū	cornua	cornūs	cornuum	cornū	cornibus	cornū	cornua	cornū	cornibus	cornū	cornua		
soror	sister	3	fh	168	57	111	soror	sorōrēs	sorōris	sorōrum	sorōrī	sorōribus	sorōrem	sorōrēs	sorōre	sorōribus	soror	sorōrēs		
fluctus	wave, billow	4	m	167	57	110	fluctus	fluctūs	fluctūs	fluctuum	fluctuī	fluctibus	fluctum	fluctūs	fluctū	fluctibus	fluctus	fluctūs		
nemus	grove, glade, pasture	3	n	166	40	126	nemus	nemora	nemoris	nemorum	nemorī	nemoribus	nemus	nemora	nemore	nemoribus	nemus	nemora		
exsilium	exile, banishment	2	n	165	137	28	exsilium	exsilia	exsiliī/exsilī	exsiliōrum	exsiliō	exsiliīs	exsilium	exsilia	exsiliō	exsiliīs	exsilium	exsilia		
custos	guard, protector, guardian	3	m	165	90	75	custōs	custōdēs	custōdis	custōdum	custōdī	custōdibus	custōdem	custōdēs	custōde	custōdibus	custōs	custōdēs		
solum	bottom, ground, floor	2	n	165	80	85	solum	sola	solī	solōrum	solō	solīs	solum	sola	solō	solīs	solum	sola		
praeceptum	teaching, lesson, precept	2	n	164	143	21	praeceptum	praecepta	praeceptī	praeceptōrum	praeceptō	praeceptīs	praeceptum	praecepta	praeceptō	praeceptīs	praeceptum	praecepta		
pondus	weight, load, burden	3	n	164	93	71	pondus	pondera	ponderis	ponderum	ponderī	ponderibus	pondus	pondera	pondere	ponderibus	pondus	pondera		
pecus	cattle, herd	3	n	164	75	89	pecus	pecora	pecoris	pecorum	pecorī	pecoribus	pecus	pecora	pecore	pecoribus	pecus	pecora		
sensus	feeling, sentiment	4	m	163	133	30	sēnsus	sēnsūs	sēnsūs	sēnsuum	sēnsuī	sēnsibus	sēnsum	sēnsūs	sēnsū	sēnsibus	sēnsus	sēnsūs		
hora	hour, time	1	f	163	100	63	hōra	hōrae	hōrae	hōrārum	hōrae	hōrīs	hōram	hōrās	hōrā	hōrīs	hōra	hōrae		
coma	hair of head, foliage	1	f	163	11	152	coma	comae	comae	comārum	comae	comīs	comam	comās	comā	comīs	coma	comae		
quies	rest, quiet, dream	3	f	162	112	50	quiēs	quiētēs	quiētis	quiētum	quiētī	quiētibus	quiētem	quiētēs	quiēte	quiētibus	quiēs	quiētēs		
sors	lot, fate, oracular response	3	f	160	87	73	sors	sortēs	sortis	sortium	sortī	sortibus	sortem	sortēs	sorte	sortibus	sors	sortēs		
sacrum	holy or sacred object, vessel	2	n	160	66	94	sacrum	sacra	sacrī	sacrōrum	sacrō	sacrīs	sacrum	sacra	sacrō	sacrīs	sacrum	sacra		
aura	air, breeze	1	f	159	13	146	aura	aurae	aurae	aurārum	aurae	aurīs	auram	aurās	aurā	aurīs	aura	aurae		
certamen	contest, struggle, strife	3	n	156	124	32	certāmen	certāmina	certāminis	certāminum	certāminī	certāminibus	certāmen	certāmina	certāmine	certāminibus	certāmen	certāmina		
gladius	sword	2	m	152	134	18	gladius	gladiī	gladiī/gladī	gladiōrum	gladiō	gladiīs	gladium	gladiōs	gladiō	gladiīs	gladī	gladiī		
imago	image, imitation, ghost	3	f	152	106	46	imāgō	imāginēs	imāginis	imāginum	imāginī	imāginibus	imāginem	imāginēs	imāgine	imāginibus	imāgō	imāginēs		
vestigium	footprint, track, trace, vestige	2	n	151	94	57	vestīgium	vestīgia	vestīgiī	vestīgiōrum	vestīgiō	vestīgiīs	vestīgium	vestīgia	vestīgiō	vestīgiīs	vestīgium	vestīgia		
insidia	ambush, artifice, plot	1	f	149	120	29	īnsidia	īnsidiae	īnsidiae	īnsidiārum	īnsidiae	īnsidiīs	īnsidiam	īnsidiās	īnsidiā	īnsidiīs	īnsidia	īnsidiae		
limen	threshold, doorstep	3	n	149	35	114	līmen	līmina	līminis	līminum	līminī	līminibus	līmen	līmina	līmine	līminibus	līmen	līmina		
praetor	leader, head, chief, president	3	mh	148	131	17	praetōr	praetōrēs	praetōris	praetōrum	praetōrī	praetōribus	praetōrem	praetōrēs	praetōre	praetōribus	praetōr	praetōrēs		
habitus	habit, disposition	4	m	148	126	22	habitus	habitūs	habitūs	habituum	habituī	habitibus	habitum	habitūs	habitū	habitibus	habitus	habitūs		
arx	citadel, stronghold, fortress	3	f	147	67	80	arx	arcēs	arcis	arcium	arcī	arcibus	arcem	arcēs	arce	arcibus	arx	arcēs		
fax	torch, firebrand	3	f	147	31	116	fax	facēs	facis	facum	facī	facibus	facem	facēs	face	facibus	fax	facēs		
exitus	departure, going out	4	m	146	121	25	exitus	exitūs	exitūs	exituum	exituī	exitibus	exitum	exitūs	exitū	exitibus	exitus	exitūs		
onus	burden, load	3	n	146	119	27	onus	onera	oneris	onerum	onerī	oneribus	onus	onera	onere	oneribus	onus	onera		
porta	gate, entrance	1	f	146	97	49	porta	portae	portae	portārum	portae	portīs	portam	portās	portā	portīs	porta	portae		
maritus	husband	2	m	146	70	76	marītus	marītī	marītī	marītōrum	marītō	marītīs	marītum	marītōs	marītō	marītīs	marīte	marītī		
cultus	tilling, cultivating, cult	4	m	145	115	30	cultus	cultūs	cultūs	cultuum	cultuī	cultibus	cultum	cultūs	cultū	cultibus	cultus	cultūs		
paupertas	poverty	3	f	144	133	11	paupertās	paupertātēs	paupertātis	paupertātum	paupertātī	paupertātibus	paupertātem	paupertātēs	paupertāte	paupertātibus	paupertās	paupertātēs		
testis	witness	3	mh, fh	142	86	56	testis	testēs	testis	testium	testī	testibus	testem	testēs/testīs	teste/testī	testibus	testis	testēs		
aes	money, pay, copper	3	n	141	86	55	aes	aera	aeris	aerum	aerī	aeribus	aes	aera	aere	aeribus	aes	aera		
saeculum	race, breed, generation, century	2	n	139	91	48	saeculum	saecula	saeculī	saeculōrum	saeculō	saeculīs	saeculum	saecula	saeculō	saeculīs	saeculum	saecula		
cibus	food, fodder	2	m	138	113	25	cibus	cibī	cibī	cibōrum	cibō	cibīs	cibum	cibōs	cibō	cibīs	cibe	cibī		
dea	goddess	1	fh	138	32	106	dea	deae	deae	deārum	deae	deābus	deam	deās	deā	deābus	dea	deae		
lingua	tongue, language	1	f	137	77	60	lingua	linguae	linguae	linguārum	linguae	linguīs	linguam	linguās	linguā	linguīs	lingua	linguae		
grex	flock, herd	3	m	137	44	93	grex	gregēs	gregis	gregum	gregī	gregibus	gregem	gregēs	grege	gregibus	grex	gregēs		
insula	island	1	f	136	124	12	īnsula	īnsulae	īnsulae	īnsulārum	īnsulae	īnsulīs	īnsulam	īnsulās	īnsulā	īnsulīs	īnsula	īnsulae		
iudex	judge, juror	3	mh	136	103	33	iūdex	iūdicēs	iūdicis	iūdicum	iūdicī	iūdicibus	iūdicem	iūdicēs	iūdice	iūdicibus	iūdex	iūdicēs		
venenum	potion, poison	2	n	134	91	43	venēnum	venēna	venēnī	venēnōrum	venēnō	venēnīs	venēnum	venēna	venēnō	venēnīs	venēnum	venēna		
clades	a breaking, destruction	3	f	134	90	44	clādes	clādēs	clādis	clādium	clādī	clādibus	clādem	clādēs	clāde	clādibus	clādes	clādēs		
robur	kind of hard oak, hardness, strength	3	n	134	90	44	rōbur	rōbora	rōboris	rōborum	rōborī	rōboribus	rōbur	rōbora	rōbore	rōboribus	rōbur	rōbora		
sanctus	saint	2	mh	134	53	81	sānctus	sānctī	sānctī	sānctōrum	sānctō	sānctīs	sānctum	sānctōs	sānctō	sānctīs	sāncte	sānctī		
portus	harbor, port	4	m	132	70	62	portus	portūs	portūs	portuum	portuī	portibus	portum	portūs	portū	portibus	portus	portūs		
cervix	neck	3	f	132	56	76	cervīx	cervīcēs	cervīcis	cervīcum	cervīcī	cervīcibus	cervīcem	cervīcēs	cervīce	cervīcibus	cervīx	cervīcēs		
ratis	raft	3	f	132	23	109	ratis	ratēs	ratis	ratum	ratī	ratibus	ratem	ratēs	rate	ratibus	ratis	ratēs		
argentum	silver	2	n	131	97	34	argentum	argenta	argentī	argentōrum	argentō	argentīs	argentum	argenta	argentō	argentīs	argentum	argenta		
ictus	blow, stroke, stab	4	m	130	88	42	ictus	ictūs	ictūs	ictuum	ictuī	ictibus	ictum	ictūs	ictū	ictibus	ictus	ictūs		
dolus	trickery, deception	2	m	130	58	72	dolus	dolī	dolī	dolōrum	dolō	dolīs	dolum	dolōs	dolō	dolīs	dole	dolī		
luxuria	luxury, extravagance	1	f	129	117	12	luxuria	luxuriae	luxuriae	luxuriārum	luxuriae	luxuriīs	luxuriam	luxuriās	luxuriā	luxuriīs	luxuria	luxuriae		
filia	daughter	1	f	129	114	15	fīlia	fīliae	fīliae	fīliārum	fīliae	fīliīs	fīliam	fīliās	fīliā	fīliīs	fīlia	fīliae		
discrimen	distinction, difference, division	3	n	129	105	24	discrīmen	discrīmina	discrīminis	discrīminum	discrīminī	discrīminibus	discrīmen	discrīmina	discrīmine	discrīminibus	discrīmen	discrīmina		
moles	mass, rock, boulder, pile	3	f	129	84	45	mōlēs	mōlēs	mōlis	mōlium	mōlī	mōlibus	mōlem	mōlēs	mōle	mōlibus	mōlēs	mōlēs		
senectus	old age	3	f	128	102	26	senectūs	senectūtēs	senectūtis	senectūtum	senectūtī	senectūtibus	senectūtem	senectūtēs	senectūte	senectūtibus	senectūs	senectūtēs		
humus	ground, earth, soil	2	f	128	64	64	humus	humī	humī	humōrum	humō	humīs	humum	humōs	humō/humu	humīs	hume	humī	humī	-
color	color, shade	3	m	128	61	67	color	colōrēs	colōris	colōrum	colōrī	colōribus	colōrem	colōrēs	colōre	colōribus	color	colōrēs		
error	wandering, wavering, uncertainty	3	m	127	87	40	error	errōrēs	errōris	errōrum	errōrī	errōribus	errōrem	errōrēs	errōre	errōribus	error	errōrēs		
fames	hunger	3	f	127	85	42	famēs	famēs	famis	famum	famī	famibus	famem	famēs	fame	famibus	famēs	famēs		
fons	fountain, spring	3	m	127	54	73	fōns	fontēs	fontis	fontium	fontī	fontibus	fontem	fontēs	fonte	fontibus	fōns	fontēs		
luctus	grief, sorrow, mourning	4	m	126	72	54	luctus	luctūs	luctūs	luctuum	luctuī	luctibus	luctum	luctūs	luctū	luctibus	luctus	luctūs		
dictum	word, saying, proverb	2	n	126	65	61	dictum	dicta	dictī	dictōrum	dictō	dictīs	dictum	dicta	dictō	dictīs	dictum	dicta		
silentium	silence, quiet	2	n	125	133	12	silentium	silentia	silentiī	silentiōrum	silentiō	silentiīs	silentium	silentia	silentiō	silentiīs	silentium	silentia		
tenebrae	darkness	1	f	125	68	57	-	tenebrae	-	tenebrārum	-	tenebrīs	-	tenebrās	-	tenebrīs	-	tenebrae		
pietas	sense of duty, piety	3	f	125	66	59	pietās	pietātēs	pietātis	pietātum	pietātī	pietātibus	pietātem	pietātēs	pietāte	pietātibus	pietās	pietātēs		
liber	book	2	m	124	104	20	liber	librī	librī	librōrum	librō	librīs	librum	librōs	librō	librīs	liber/libre	librī		
hiems	winter	3	f	124	74	50	hiems	hiemēs	hiemis	hiemum	hiemī	hiemibus	hiemem	hiemēs	hieme	hiemibus	hiems	hiemēs		
exiguus	a poor man	2	mh	124	69	55	exiguus	exiguī	exiguī	exiguōrum	exiguō	exiguīs	exiguum	exiguōs	exiguō	exiguīs	exigue	exiguī		
herba	grass, herb	1	f	123	23	100	herba	herbae	herbae	herbārum	herbae	herbīs	herbam	herbās	herbā	herbīs	herba	herbae		
frumentum	corn, grain	2	n	122	111	11	frūmentum	frūmenta	frūmentī	frūmentōrum	frūmentō	frūmentīs	frūmentum	frūmenta	frūmentō	frūmentīs	frūmentum	frūmenta		
exitium	destruction, ruin, beginner	2	n	122	93	29	exitium	exitia	exitiī	exitiōrum	exitiō	exitiīs	exitium	exitia	exitiō	exitiīs	exitium	exitia		
collum	neck, throat	2	n	122	11	111	collum	colla	collī	collōrum	collō	collīs	collum	colla	collō	collīs	collum	colla		
nuntius	messenger, reporter, envoy	2	mh	121	103	18	nūntius	nūntiī	nūntiī/nūntī	nūntiōrum	nūntiō	nūntiīs	nūntium	nūntiōs	nūntiō	nūntiīs	nūntī	nūntiī		
culpa	fault, defect, crime	1	f	121	60	61	culpa	culpae	culpae	culpārum	culpae	culpīs	culpam	culpās	culpā	culpīs	culpa	culpae		
nubes	cloud	3	f	121	24	97	nūbēs	nūbēs	nūbis	nūbium	nūbī	nūbibus	nūbem	nūbēs	nūbe	nūbibus	nūbēs	nūbēs		
fraus	cheating, fraud	3	f	120	67	53	fraus	fraudēs	fraudis	fraudum	fraudī	fraudibus	fraudem	fraudēs	fraude	fraudibus	fraus	fraudēs		
rota	wheel	1	f	120	57	63	rota	rotae	rotae	rotārum	rotae	rotīs	rotam	rotās	rotā	rotīs	rota	rotae		
ora	border, rim, frontier, edge	1	f	120	45	75	ōra	ōrae	ōrae	ōrārum	ōrae	ōrīs	ōram	ōrās	ōrā	ōrīs	ōra	ōrae		
canis	dog	3	m, f	118	36	82	canis	canēs	canis	canum	canī	canibus	canem	canēs	cane	canibus	canis	canēs		
vertex	whirlpool, top, summit	3	m	118	29	89	vertex	verticēs	verticis	verticum	verticī	verticibus	verticem	verticēs	vertice	verticibus	vertex	verticēs		
militia	military	1	f	117	101	16	mīlitia	mīlitiae	mīlitiae	mīlitiārum	mīlitiae	mīlitiīs	mīlitiam	mīlitiās	mīlitiā	mīlitiīs	mīlitia	mīlitiae		
mensa	table	1	f	117	49	68	mēnsa	mēnsae	mēnsae	mēnsārum	mēnsae	mēnsīs	mēnsam	mēnsās	mēnsā	mēnsīs	mēnsa	mēnsae		
vates	seer, prophet, poet	3	mh	117	33	84	vātēs	vātēs	vātis	vātium	vātī	vātibus	vātem	vātēs	vāte	vātibus	vātēs	vātēs		
fructus	enjoyment, delight, fruit	4	m	116	98	18	fructus	fructūs	fructūs	fructuum	fructuī	fructibus	fructum	fructūs	fructū	fructibus	fructus	fructūs		
convivium	banquet, feast	2	n	116	96	20	convīvium	convīvia	convīviī	convīviōrum	convīviō	convīviīs	convīvium	convīvia	convīviō	convīviīs	convīvium	convīvia		
cupido	desire, longing, lust	3	f	116	92	24	cupīdō	cupīdinēs	cupīdinis	cupīdinum	cupīdinī	cupīdinibus	cupīdinem	cupīdinēs	cupīdine	cupīdinibus	cupīdō	cupīdinēs		
nepos	grandson	3	mh, fh	116	62	54	nepōs	nepōtēs	nepōtis	nepōtum	nepōtī	nepōtibus	nepōtem	nepōtēs	nepōte	nepōtibus	nepōs	nepōtēs		
turris	tower	3	f	115	86	29	turris	turrēs	turris	turrium	turrī	turribus	turrem/turrim	turrēs/turrīs	turre/turrī	turribus	turris	turrēs		
tumultus	uproar, bustle	4	m	114	83	31	tumultus	tumultūs	tumultūs	tumultuum	tumultuī	tumultibus	tumultum	tumultūs	tumultū	tumultibus	tumultus	tumultūs		
collis	hill	3	m	114	81	33	collis	collēs	collis	collium	collī	collibus	collem	collēs/collīs	colle/collī	collibus	collis	collēs		
ruina	collapse, ruin	1	f	114	64	50	ruīna	ruīnae	ruīnae	ruīnārum	ruīnae	ruīnīs	ruīnam	ruīnās	ruīnā	ruīnīs	ruīna	ruīnae		
vicis	change, alternation, turn	3	f	114	59	55	-	vicēs	vicis	vicum	vicī	vicibus	vicem	vicēs	vice	vicibus	-	vicēs		
arvum	field, dry land	2	n	113	13	100	arvum	arva	arvī	arvōrum	arvō	arvīs	arvum	arva	arvō	arvīs	arvum	arva		
adventus	arrival	4	m	112	100	12	adventus	adventūs	adventūs	adventuum	adventuī	adventibus	adventum	adventūs	adventū	adventibus	adventus	adventūs		
velum	sail, cloth	2	n	111	34	77	vēlum	vēla	vēlī	vēlōrum	vēlō	vēlīs	vēlum	vēla	vēlō	vēlīs	vēlum	vēla		
monstrum	evil omen, monster	2	n	111	12	99	mōnstrum	mōnstra	mōnstrī	mōnstrōrum	mōnstrō	mōnstrīs	mōnstrum	mōnstra	mōnstrō	mōnstrīs	mōnstrum	mōnstra		
terror	dread, terror	3	m	110	92	18	terror	terrōrēs	terrōris	terrōrum	terrōrī	terrōribus	terrōrem	terrōrēs	terrōre	terrōribus	terror	terrōrēs		
os	bone	3	n	110	25	85	os	ossa	ossis	ossium/ossum	ossī	ossibus	os	ossa	osse	ossibus	os	ossa		
damnum	damage, injury	2	n	109	87	22	damnum	damna	damnī	damnōrum	damnō	damnīs	damnum	damna	damnō	damnīs	damnum	damna		
incendium	fire, inferno, conflagration	2	n	108	93	15	incendium	incendia	incendiī	incendiōrum	incendiō	incendiīs	incendium	incendia	incendiō	incendiīs	incendium	incendia		
aditus	approach, attack	4	m	107	87	20	aditus	aditūs	aditūs	adituum	adituī	aditibus	aditum	aditūs	aditū	aditibus	aditus	aditūs		
lapis	stone	3	m	107	57	50	lapis	lapidēs	lapidis	lapidum	lapidī	lapidibus	lapidem	lapidēs	lapide	lapidibus	lapis	lapidēs		
fretum	strait, sound, estuary, channel	2	n	107	29	78	fretum	freta	fretī	fretōrum	fretō	fretīs	fretum	freta	fretō	fretīs	fretum	freta		
artus	joint, sinew	4	m	106	25	81	artus	artūs	artūs	artuum	artuī	artubus	artum	artūs	artū	artubus	artus	artūs		
aestus	heat, fire	4	m	105	53	52	aestus	aestūs	aestūs	aestuum	aestuī	aestibus	aestum	aestūs	aestū	aestibus	aestus	aestūs		
frigus	cold	3	n	105	51	54	frīgus	frīgora	frīgoris	frīgorum	frīgorī	frīgoribus	frīgus	frīgora	frīgore	frīgoribus	frīgus	frīgora		
dens	tooth	3	m	105	45	60	dēns	dentēs	dentis	dentium	dentī	dentibus	dentem	dentēs	dente	dentibus	dēns	dentēs		
minae	battlements, parapets, threats, menaces	1	f	105	45	60	-	minae	-	minārum	-	minīs	-	minās	-	minīs	-	minae		
sagitta	arrow, bolt	1	f	105	42	63	sagitta	sagittae	sagittae	sagittārum	sagittae	sagittīs	sagittam	sagittās	sagittā	sagittīs	sagitta	sagittae		
custodia	protection, safekeeping, custody	1	f	104	92	12	custōdia	custōdiae	custōdiae	custōdiārum	custōdiae	custōdiīs	custōdiam	custōdiās	custōdiā	custōdiīs	custōdia	custōdiae		
principium	beginning, origin	2	n	103	85	18	prīncipium	prīncipia	prīncipiī	prīncipiōrum	prīncipiō	prīncipiīs	prīncipium	prīncipia	prīncipiō	prīncipiīs	prīncipium	prīncipia		
medium	middle, center	2	n	103	74	29	medium	media	mediī	mediōrum	mediō	mediīs	medium	media	mediō	mediīs	medium	media		
arena	sand	1	f	103	31	72	arēna	arēnae	arēnae	arēnārum	arēnae	arēnīs	arēnam	arēnās	arēnā	arēnīs	arēna	arēnae		
humerus	shoulder	2	m	103	25	78	humerus	humerī	humerī	humerōrum	humerō	humerīs	humerum	humerōs	humerō	humerīs	humere	humerī		
cruor	blood, gore, murder	3	m	103	22	81	cruor	cruōrēs	cruōris	cruōrum	cruōrī	cruōribus	cruōrem	cruōrēs	cruōre	cruōribus	cruor	cruōrēs		
taurus	bull	2	m	103	16	87	taurus	taurī	taurī	taurōrum	taurō	taurīs	taurum	taurōs	taurō	taurīs	taure	taurī		
astrum	star	2	n	103	12	91	astrum	astra	astrī	astrōrum	astrō	astrīs	astrum	astra	astrō	astrīs	astrum	astra		
rupes	cliff, rock	3	f	102	39	63	rūpēs	rūpēs	rūpis	rūpium	rūpī	rūpibus	rūpem/rūpim	rūpēs/rūpīs	rūpe/rūpī	rūpibus	rūpēs	rūpēs		
summa	top, summit	1	f	101	87	14	summa	summae	summae	summārum	summae	summīs	summam	summās	summā	summīs	summa	summae		
ramus	branch	2	m	101	39	62	rāmus	rāmī	rāmī	rāmōrum	rāmō	rāmīs	rāmum	rāmōs	rāmō	rāmīs	rāme	rāmī		
tumulus	heap of earth, mound, hill	2	m	101	39	62	tumulus	tumulī	tumulī	tumulōrum	tumulō	tumulīs	tumulum	tumulōs	tumulō	tumulīs	tumule	tumulī		
ludus	school, game, sport, play	2	m	100	64	36	lūdus	lūdī	lūdī	lūdōrum	lūdō	lūdīs	lūdum	lūdōs	lūdō	lūdīs	lūde	lūdī		
brachium	arm, forearm	2	n	100	27	73	brachium	brachia	brachiī	brachiōrum	brachiō	brachiīs	brachium	brachia	brachiō	brachiīs	brachium	brachia		
status	state, status, condition, position	4	m	99	83	16	status	statūs	statūs	statuum	statuī	statibus	statum	statūs	statū	statibus	status	statūs		
arbitrium	decision, judgment	2	n	98	81	17	arbitrium	arbitria	arbitriī	arbitriōrum	arbitriō	arbitriīs	arbitrium	arbitria	arbitriō	arbitriīs	arbitrium	arbitria		
fulmen	lightning, thunderbolt	3	n	98	20	78	fulmen	fulmina	fulminis	fulminum	fulminī	fulminibus	fulmen	fulmina	fulmine	fulminibus	fulmen	fulmina		
